dcid,sentence
Annual_Consumption_Electricity_PaperPulpPrintIndustry,"Annual Electricity Usage in Paper, Pulp and Print Industry"
Annual_Consumption_Electricity_RailTransport,Electricity Usage in Rail Transport
Annual_Consumption_Electricity_TextileAndLeatherIndustry,Electricity Usage in Textile and Leather Industry
Annual_Consumption_Electricity_TransportEquipmentIndustry,Electricity Usage in Transport Equipment Industry
Annual_Consumption_Electricity_TransportIndustry,Electricity Usage in Transport Industry
Annual_Consumption_Electricity_WoodAndWoodProductsIndustry,Electricity Usage in Wood and Wood Products Industry
Annual_Consumption_Energy_Geothermal,consumption of energy produced from geo thermal source
Annual_Consumption_Energy_Heat,consumption of energy produced from heat source
Annual_Consumption_Energy_Households_Heat,households heat consumption
Annual_Consumption_Energy_Households_SolarThermal,households Solar Thermal consumption
Annual_Consumption_Energy_Manufacturing_Heat,manufacturing heat consumption
Annual_Consumption_Energy_SolarThermal,consumption of energy produced from solar thermal
Annual_Consumption_Fuel_Agriculture_DieselOil,consumption of diesel oil by the agriculture sector
Annual_Consumption_Fuel_Agriculture_FuelOil,consumption of fuel oil by the agriculture sector
Annual_Consumption_Fuel_Agriculture_Fuelwood,consumption of fuel wood by the agriculture sector
Annual_Consumption_Fuel_Agriculture_Kerosene,consumption of kerosene by the agriculture sector
Annual_Consumption_Fuel_Agriculture_LiquifiedPetroleumGas,consumption of liquefied petroleum gas by the agriculture sector
Annual_Consumption_Fuel_Agriculture_MotorGasoline,consumption of motor gasoline by the agriculture sector
Annual_Consumption_Fuel_Agriculture_NaturalGas,consumption of natural gas by the agriculture sector
Annual_Consumption_Fuel_AnthraciteCoal,consumption of Anthracite Coal
Annual_Consumption_Fuel_AviationGasoline,Consumption of Aviation Gasoline
Annual_Consumption_Fuel_Bagasse,Consumption of Bagasse
Annual_Consumption_Fuel_BioDiesel,Consumption of Bio Diesel
Annual_Consumption_Fuel_BioGas,Consumption of Bio Gas
Annual_Consumption_Fuel_BioGasoline,Consumption of Bio Gasoline
Annual_Consumption_Fuel_BituminousCoal,Consumption of Bituminous Coal
Annual_Consumption_Fuel_BituminousCoal_NonEnergyUse,Consumption of Bituminous Coal Used For Non Energy Use
Annual_Consumption_Fuel_BlastFurnaceGas,Consumption of Blast Furnace Gas
Annual_Consumption_Fuel_BlastFurnaces_CokeOvenCoke_FuelTransformation,Consumption of Coke Oven Coke Used for Fuel Transformation by the Blast Furnaces Sector
Annual_Consumption_Fuel_BrownCoal,Consumption of Brown Coal
Annual_Consumption_Fuel_Charcoal,Consumption of Charcoal
Annual_Consumption_Fuel_CharcoalPlants_Fuelwood_FuelTransformation,Consumption of Fuel Wood used for Fuel Transformation by Charcoal Plants
Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_DieselOil,Consumption of Diesel Oil by the Petrochemical Industry
Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_FuelOil,Consumption of Fuel Oil by the Petrochemical Industry
Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_HardCoal,Consumption of Hard Coal by the Petrochemical Industry
Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_LiquifiedPetroleumGas,Consumption of Liquefied Petroleum Gas by the Petrochemical Industry
Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,Consumption of Natural Gas by the Petrochemical Industry
Annual_Consumption_Fuel_CokeOvenCoke,Consumption of Coke Oven Coke
Annual_Consumption_Fuel_CommerceAndPublicServices_Charcoal,Consumption of Charcoal by the Commerce and Public Services sector
Annual_Consumption_Fuel_CommerceAndPublicServices_DieselOil,Consumption of Diesel Oil by the Commerce and Public Services sector
Annual_Consumption_Fuel_CommerceAndPublicServices_FuelOil,Consumption of Fuel Oil by the Commerce and Public Services sector
Annual_Consumption_Fuel_CommerceAndPublicServices_Fuelwood,Consumption of Fuelwood by the Commerce and Public Services sector
Annual_Consumption_Fuel_CommerceAndPublicServices_HardCoal,Consumption of Hard Coal by the Commerce and Public Services sector
Annual_Consumption_Fuel_CommerceAndPublicServices_Kerosene,Consumption of Kerosene by the Commerce and Public Services sector
Annual_Consumption_Fuel_CommerceAndPublicServices_LiquifiedPetroleumGas,Consumption of Liquified Petroleum Gas by the Commerce and Public Services sector
Annual_Consumption_Fuel_CommerceAndPublicServices_MotorGasoline,Consumption of Motor Gasoline by the Commerce and Public Services sector
Annual_Consumption_Fuel_CommerceAndPublicServices_NaturalGas,Consumption of Natural Gas by the Commerce and Public Services sector
Annual_Consumption_Fuel_ConstructionIndustry_DieselOil,Consumption of Diesel Oil by the Construction Industry
Annual_Consumption_Fuel_ConstructionIndustry_FuelOil,Consumption of Fuel Oil by the Construction Industry
Annual_Consumption_Fuel_ConstructionIndustry_LiquifiedPetroleumGas,Consumption of Liquified Petroleum Gas by the Construction Industry
Annual_Consumption_Fuel_ConstructionIndustry_NaturalGas,Consumption of Natural Gas by the Construction Industry
Annual_Consumption_Fuel_DieselOil,Consumption of Diesel Oil
Annual_Consumption_Fuel_DomesticAviationTransport_AviationGasoline,Consumption of Aviation Gasoline by the Domestic Aviation Transport Sector
Annual_Consumption_Fuel_DomesticAviationTransport_KeroseneJetFuel,Consumption of Kerosene Jet Fuel by the Domestic Aviation Transport Sector
Annual_Consumption_Fuel_DomesticNavigationTransport_DieselOil,Consumption of Diesel Oil by the Domestic Navigation Transport Sector
Annual_Consumption_Fuel_DomesticNavigationTransport_FuelOil,Consumption of Fuel Oil by the Domestic Navigation Transport Sector
Annual_Consumption_Fuel_FoodAndTobaccoIndustry_DieselOil,Consumption of Diesel Oil by the Food and Tobacco Industry
Annual_Consumption_Fuel_FoodAndTobaccoIndustry_FuelOil,Consumption of Fuel Oil by the Food and Tobacco Industry
Annual_Consumption_Fuel_FoodAndTobaccoIndustry_HardCoal,Consumption of Hard Coal by the Food and Tobacco Industry
Annual_Consumption_Fuel_FoodAndTobaccoIndustry_LiquifiedPetroleumGas,Consumption of Liquified Petroleum Gas by the Food and Tobacco Industry
Annual_Consumption_Fuel_FoodAndTobaccoIndustry_NaturalGas,Consumption of Natural Gas by the Food and Tobacco Industry
Annual_Consumption_Fuel_ForElectricityGeneration_Coal,consumption of coal used for electricity generation
Annual_Consumption_Fuel_ForElectricityGeneration_NaturalGas,consumption of Natural Gas used for Electricity Generation
Annual_Consumption_Fuel_ForElectricityGeneration_PetroleumLiquids,consumption of Petroleum Liquids used for Electricity Generation
Annual_Consumption_Fuel_ForElectricityGenerationAndThermalOutput_Coal,consumption of Coal used for Electricity Generation And Thermal Output
Annual_Consumption_Fuel_ForElectricityGenerationAndThermalOutput_NaturalGas,consumption of Natural Gas used for Electricity Generation And Thermal Output
Annual_Consumption_Fuel_ForElectricityGenerationAndThermalOutput_PetroleumLiquids,consumption of Petroleum Liquids used for Electricity Generation And Thermal Output
Annual_Consumption_Fuel_FuelOil,consumption of Fuel Oil
Annual_Consumption_Fuel_Fuelwood,Fuelwood Consumption
Annual_Consumption_Fuel_HardCoal,Hard Coal Consumption
Annual_Consumption_Fuel_Households_Charcoal,Household Charcoal Consumption
Annual_Consumption_Fuel_Households_DieselOil,Household Diesel Oil Consumption
Annual_Consumption_Fuel_Households_FuelOil,Household Fuel Oil Consumption
Annual_Consumption_Fuel_Households_Fuelwood,Household Fuelwood Consumption
Annual_Consumption_Fuel_Households_HardCoal,Household Hard Coal Consumption
Annual_Consumption_Fuel_Households_Kerosene,Household Kerosene Consumption
Annual_Consumption_Fuel_Households_LiquifiedPetroleumGas,Household Liquefied Petroleum Gas Consumption
Annual_Consumption_Fuel_Households_NaturalGas,Household Natural Gas Consumption
Annual_Consumption_Fuel_Households_VegetalWaste,Household Vegetal Waste Consumption
Annual_Consumption_Fuel_Industry_NaturalGas_EnergyIndustryOwnUse,Consumption of Natural Gas by the Energy Industry
Annual_Consumption_Fuel_InternationalAviationBunkers_AviationGasoline,Consumption of Aviation Gasoline by International Aviation Bunkers
Annual_Consumption_Fuel_InternationalAviationBunkers_KeroseneJetFuel,Consumption of Kerosene Jet Fuel by International Aviation Bunkers
Annual_Consumption_Fuel_InternationalMarineBunkers_DieselOil,Consumption of Diesel Oil by International Marine Bunkers
Annual_Consumption_Fuel_InternationalMarineBunkers_FuelOil,Consumption of Fuel Oil by International Marine Bunkers
Annual_Consumption_Fuel_IronSteel_BlastFurnaceGas,Consumption of Blast Furnase Gas for Iron Steel Production
Annual_Consumption_Fuel_IronSteel_CokeOvenCoke,Consumption of Coke Oven Coke for Iron Steel Production
Annual_Consumption_Fuel_IronSteel_DieselOil,Consumption of Diesel Oil for Iron Steel Production
Annual_Consumption_Fuel_IronSteel_FuelOil,Consumption of Fuel Oil for Iron Steel Production
Annual_Consumption_Fuel_IronSteel_HardCoal,Consumption of Hard Coal for Iron Steel Production
Annual_Consumption_Fuel_IronSteel_LiquifiedPetroleumGas,Consumption of Liquefied Petroleum Gas for Iron Steel Production
Annual_Consumption_Fuel_IronSteel_NaturalGas,Consumption of Natural Gas for Iron Steel Production
Annual_Consumption_Fuel_Kerosene,Consumption of Kerosene
Annual_Consumption_Fuel_KeroseneJetFuel,Consumption of Kerosene Jet Fuel
Annual_Consumption_Fuel_LiquifiedPetroleumGas,Consumption of Liquefied Petroleum Gas
Annual_Consumption_Fuel_LiquifiedPetroleumGas_NonEnergyUse,Consumption of Liquefied Petroleum Gas Used for Non Energy Purposes
Annual_Consumption_Fuel_Lubricants,Consumption of Lubricants
Annual_Consumption_Fuel_Lubricants_NonEnergyUse,Consumption of Lubricants for Non Energy Use
Annual_Consumption_Fuel_MachineryIndustry_DieselOil,Consumption of Diesel Oil by the Machinery Industry
Annual_Consumption_Fuel_MachineryIndustry_FuelOil,Consumption of Fuel Oil by the Machinery Industry
Annual_Consumption_Fuel_MachineryIndustry_LiquifiedPetroleumGas,Consumption of Liquefied Petroleum Gas by the Machinery Industry
Annual_Consumption_Fuel_MachineryIndustry_NaturalGas,Consumption of Natural Gas by the Machinery Industry
Annual_Consumption_Fuel_Manufacturing_AnthraciteCoal,Consumption of Anthracite Coal by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_Bagasse,Consumption of Bagasse by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_BlastFurnaceGas,Consumption of Blast Furnace Gas by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_BrownCoal,Consumption of Brown Coal by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_CokeOvenCoke,Consumption of Coke Oven Coke by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_DieselOil,Consumption of Diesel Oil by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_FuelOil,Consumption of Fuel Oil by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_Fuelwood,Consumption of Fuelwood by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_HardCoal,Consumption of Hard Coal by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_Kerosene,Consumption of Kerosene by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_LiquifiedPetroleumGas,Consumption of Liquefied Petroleum Gas by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_MotorGasoline,Consumption of Motor Gasoline by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_NaturalGas,Consumption of Natural Gas by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_PetroleumCoke,Consumption of Petroleum Coke by the Manufacturing Industry
Annual_Consumption_Fuel_Manufacturing_VegetalWaste,Consumption of Vegetal Waste by the Manufacturing Industry
Annual_Consumption_Fuel_MiningAndQuarryingIndustry_DieselOil,Consumption of Diesel Oil by the Mining and Quarrying Industry
Annual_Consumption_Fuel_MiningAndQuarryingIndustry_FuelOil,Consumption of Fuel Oil by the Mining and Quarrying Industry
Annual_Consumption_Fuel_MiningAndQuarryingIndustry_LiquifiedPetroleumGas,Consumption of Liquefied Petroleum Gas by the Mining and Quarrying Industry
Annual_Consumption_Fuel_MiningAndQuarryingIndustry_NaturalGas,Consumption of Natural Gas by the Mining and Quarrying Industry
Annual_Consumption_Fuel_MotorGasoline,Consumption of Motor Gasoline
Annual_Consumption_Fuel_Naphtha,Consumption of Naphtha
Annual_Consumption_Fuel_Naphtha_NonEnergyUse,Consumption of Naphtha for Non Energy Use
Annual_Consumption_Fuel_NaturalGas,Consumption of Natural Gas
Annual_Consumption_Fuel_NaturalGas_NonEnergyUse,Consumption of Natural Gas for Non Energy Use
Annual_Consumption_Fuel_NonFerrousMetalsIndustry_DieselOil,Consumption of Diesel Oil by the Non Ferrous Metals Industry
Annual_Consumption_Fuel_NonFerrousMetalsIndustry_NaturalGas,Consumption of Natural Gas by the Non Ferrous Metals Industry
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_DieselOil,Consumption of Diesel Oil by the Non Metallic Minerals Industry
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_FuelOil,Consumption of Fuel Oil by the Non Metallic Minerals Industry
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_HardCoal,Consumption of Hard Coal by the Non Metallic Minerals Industry
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_LiquifiedPetroleumGas,Consumption of Liquefied Petroleum Gas by the Non Metallic Minerals Industry
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_NaturalGas,Consumption of Natural Gas by the Non Metallic Minerals Industry
Annual_Consumption_Fuel_NonMetallicMineralsIndustry_PetroleumCoke,Consumption of Petroleum Coke by the Non Metallic Minerals Industry
Annual_Consumption_Fuel_PaperPulpPrintIndustry_DieselOil,Diesel Oil consumption by Paper Pulp Print Industry
Annual_Consumption_Fuel_PaperPulpPrintIndustry_FuelOil,Fuel Oil consumption by Paper Pulp Print Industry
Annual_Consumption_Fuel_PaperPulpPrintIndustry_LiquifiedPetroleumGas,Liquified Petroleum Gas consumption by Paper Pulp Print Industry
Annual_Consumption_Fuel_PaperPulpPrintIndustry_NaturalGas,Natural Gas consumption by Paper Pulp Print Industry
Annual_Consumption_Fuel_ParaffinWaxes,Paraffin Waxes consumption by Fuel
Annual_Consumption_Fuel_ParaffinWaxes_NonEnergyUse,Paraffin Waxes consumption by Fuel for Non Energy Use
Annual_Consumption_Fuel_PetroleumCoke,Petroleum Coke consumption by Fuel
Annual_Consumption_Fuel_PetroleumCoke_NonEnergyUse,Petroleum Coke consumption by Fuel for Non Energy Use
Annual_Consumption_Fuel_RailTransport_DieselOil,Diesel Oil consumption by Rail Transport
Annual_Consumption_Fuel_RoadTransport_BioDiesel,Bio Diesel consumption by Road Transport
